"";"groupWnt1.OVX.b1";"groupWnt1.OVX.b2";"groupWnt1.OVX.b3";"AveExpr";"F";"P.Value";"adj.P.Val"
"Spata9";0,10227134242103;0,126111705922964;0,055325453099369;0,0570263567924731;6,06711449832692;0,00441125001308507;0,552276763090406
"Hnrnpm";0,175464789177133;-0,338239346319144;-0,110757768524315;0,349663108710085;6,05219750280635;0,00445987744855448;0,552276763090406
"Ank";-0,075393673299618;0,131357379339711;0,0844500359945047;0,0898976790163842;6,05058058233834;0,00446518369842765;0,552276763090406
"Igkc";0,11613072638458;-0,343249515678812;0,0752281535782872;0,13813783391932;6,04254582985167;0,00449165450016331;0,552276763090406
"Srpk1";0,0625946397818522;-0,0472281095240151;0,113790555414071;0,0766443720209999;6,03615390089682;0,00451283618632943;0,552276763090406
"Rusc2";0,0797366872471993;0,0165231367141003;-0,130769163504963;0,0724013612637367;5,98718894301724;0,00467878765308751;0,562170125121121
"Mto1";0,0354384484898842;-0,117329604971343;0,0797985646343294;0,067018262879419;5,98018929330857;0,0047030540217704;0,562170125121121
"Nrf1";0,110653869788109;-0,223048099251951;0,0117350268934332;0,053846242850835;5,9722545862858;0,00473072948796975;0,562170125121121
"Tspan12";-0,0766255423443395;-0,0244437363391381;0,103400838953199;0,0410762797336795;5,96848602971228;0,00474393650243828;0,562170125121121
"Zscan5b";0,028663248244728;0,214038167032185;0,0938142400296859;0,0482710676784999;5,9506197879306;0,0048071032758878;0,562170125121121
"Tmem38a";-0,0882584689724491;0,131411661896344;0,0856444763176147;0,0520774610870678;5,94938738876292;0,00481149443407044;0,562170125121121
"Dok4";0,150329795922992;-0,0672937179761703;0,0612473787236557;0,0635071911426095;5,93819529687143;0,00485157540885515;0,562170125121121
"Nr1i3";-0,151066597201247;0,0119031618507786;0,0235107590173649;0,0422895473104598;5,93763223910169;0,00485360149797298;0,562170125121121
"B3galt6";0,0392409455148217;0,229312002090115;0,0868285820756078;0,0645443058531579;5,93085840877547;0,00487804927046472;0,562170125121121
"Cd37";0,102999889088578;-0,0546713165683965;0,107394890313942;0,124058818577292;5,91324973724544;0,00494223725912631;0,562170125121121
"Fkbp8";0,365945876893772;-0,00221782149684944;0,027496323244277;0,397743908015495;5,90251337290785;0,00498182923973463;0,562170125121121
"Vasp";0,167626811516221;-0,0104568269371567;0,011771756477401;0,0583209480042061;5,90250629081756;0,00498185547080478;0,562170125121121
"Map7d2";0,032016216782831;-0,0417677901423446;0,103999167394883;0,0425391999307064;5,9019299564705;0,00498399064142844;0,562170125121121
"H1f4";0,0662807141796311;-0,129668936076145;0,155332510539115;0,1449987426114;5,85147712122043;0,00517486211574433;0,570089817715965
"Epcam";-0,116608416661197;0,139481095257571;0,0334470737385602;0,0381866796147775;5,8434213804579;0,00520607551335376;0,570089817715965
"Esyt2";0,110022426740849;0,173434613342441;-0,00730602395363645;0,068581641378549;5,84289768240006;0,00520811182581052;0,570089817715965
"Trim35";-0,0187605745903173;0,203905891421424;-0,0606725600611757;0,0586476628485896;5,83488507616037;0,00523937691255376;0,570089817715965
"Ganab";0,0241162190166766;-0,271661692336648;-0,00246410277674299;0,118557070500543;5,83410034454389;0,00524244999843277;0,570089817715965
"Eif3i";-0,108487102706965;0,0282133300180422;-0,0777492325025766;0,0723357496931868;5,83141359919187;0,00525298656796881;0,570089817715965
"Pdgfrb";0,168707193433388;-0,231499690080976;-0,0589754237946416;0,105006778725397;5,82776493776293;0,00526733275287663;0,570089817715965
"Pfn1";0,423649427279382;-0,509641333471929;-0,150539568023345;0,522769371179964;5,80974659594837;0,00533881340849047;0,574505415290664
"Sar1a";-0,172781935872859;-0,116655871638871;-0,0569879250999237;0,0611814668889502;5,80067041349286;0,00537522278788071;0,575118122744448
"Trim56";-0,0104970284774291;-0,253563939135418;0,0213373227309436;0,107858549611934;5,78729152481128;0,00542939117204998;0,576992630638182
"Clca3a2";0,0272038383341537;-0,222608961619082;-0,000951712291544188;0,0493684617577018;5,78117047533963;0,00545437383160426;0,576992630638182
"Olfr5";-0,129536496918165;-0,0873208685808591;-0,0721652423573523;0,0493731136801628;5,74671821019272;0,00559736627071596;0,588792618274639
"Pnrc2";0,146888299121826;-0,279919803364107;-0,0107190327675585;0,0929447899500852;5,71672864725396;0,0057251942310786;0,598870794583326
"Itgb2";0,0869754000180755;-0,181178403926414;0,0669304704385277;0,160647994439688;5,7089387342748;0,0057589205744938;0,598870794583326
"Tmem47";-0,0275205717630386;0,127724100274679;0,11472424255499;0,0805850227006638;5,70200426891605;0,00578912699314153;0,598870794583326
"Rragb";-0,0490360672753668;-0,174551855679216;0,019644707082198;0,0429737601113318;5,68975397009045;0,00584291542805093;0,601114002608932
"Ticrr";-0,125124932468359;0,185462787948166;0,105788113001926;0,151826739596964;5,66715736607895;0,00594357876984891;0,604080060665125
"Hoxb7";-0,101699029849576;0,163892975466366;-0,032044513812371;0,0634374371120913;5,64309467769302;0,00605287268213729;0,604080060665125
"Nckap5";0,152613437027642;0,0224534996940777;0,0108677973909423;0,0450941101319876;5,63839292363454;0,00607448511773226;0,604080060665125
"Fgf22";0,0424497434085931;0,129071040660888;0,0991377526041504;0,0491084098447653;5,62435748109565;0,00613950740627734;0,604080060665125
"Gcnt2";-0,0985865818564921;-0,194908575510712;0,0399591821012265;0,0656589185841422;5,62363049022855;0,00614289611993753;0,604080060665125
"Aldh3a2";-0,076806043713257;-0,181340093040443;0,00250203493170229;0,0484202547720498;5,62156760952573;0,00615252299419084;0,604080060665125
"Tmprss7";-0,11685989049326;-0,121352031373014;-0,0734090797000185;0,0467456089407951;5,61955740349807;0,00616191999879359;0,604080060665125
"Cd274";-0,132737858550209;0,0553158259125747;-0,0353251479508933;0,0467402448665974;5,61243721363324;0,00619533143221865;0,604080060665125
"Szrd1";0,127030674048689;-0,0852508575527168;0,0764778356019516;0,0782858848974711;5,61168750766389;0,00619886098708563;0,604080060665125
"Nptx1";-0,100488201532161;0,0829303911393517;0,1047308292889;0,0504044374073481;5,60642411289944;0,0062237029099843;0,604080060665125
"Etv5";0,0678396474860342;0,0802951199131076;0,109914009198982;0,0579670195535588;5,60580509820725;0,0062266316870524;0,604080060665125
"Wdr66";0,112905568916386;0,150216988242719;0,00162531560344783;0,0731304179934713;5,59321051027333;0,00628655115229568;0,606224000149946
"Eml3";0,00854971693291406;-0,0826070051018501;0,133754046876058;0,137325499479994;5,58759227542197;0,00631348429978848;0,606224000149946
"Lrrn3";0,180748122430605;-0,0116461294291737;-0,0240406842818357;0,0608443545552865;5,56145380363025;0,00644046695927936;0,614083520980205
"Sil1";-0,0791102795959871;0,075757232401586;0,111895730298722;0,0535437042412769;5,55277118888638;0,00648326646085556;0,614083520980205
"Igfbp5";-0,0486684379379352;-0,23151775402356;0,0615517477137437;0,147074628561481;5,52607286964902;0,00661684090150697;0,614083520980205
"Spc25";0,146092497751168;-0,175869655773286;-0,065033533841415;0,0779601584533935;5,51322499080379;0,0066821951871795;0,614083520980205
"1700028K03Rik";0,104587197727379;0,113843840138144;0,0773051208528824;0,0340725420581904;5,5126099770985;0,00668534135825576;0,614083520980205
"Tceal5";-0,0442003534103511;0,0945135193611849;0,0978894558030316;0,0363638905944682;5,50205594523854;0,00673958601118923;0,614083520980205
"Sdcbp";0,0745388124075543;-0,204580852624828;0,0271189744016992;0,110336106846861;5,47748976507516;0,00686773092897525;0,614083520980205
"Cry1";0,179688319307137;-0,0505121568352157;0,0141054379115343;0,0566315068309174;5,4745858944474;0,00688305445637563;0,614083520980205
