"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Otx1",-0.0224751100730517,0.0426716090772468,-0.808247484111622,0.427351637099481,0.999404657273207,-5.50632030775495
"Nudt7",-0.0319203239625099,0.0634011204405976,-0.808068927557256,0.427452316094756,0.999404657273207,-5.50645359390896
"Rnf150",0.0302211862809976,0.0704103542286483,0.807896500700413,0.427549552857476,0.999404657273207,-5.50658227821708
"Kirrel",0.0249768459170566,0.0243142085059686,0.807872902205416,0.427562861838005,0.999404657273207,-5.50659988806141
"Lcn10",-0.023676401908966,0.0420866267367167,-0.807824006673167,0.427590438555363,0.999404657273207,-5.50663637371172
"Rnase4",-0.0245674630081115,0.0710017850980454,-0.807809650873823,0.427598535329604,0.999404657273207,-5.50664708555791
"Pcyox1",-0.0263543750240004,0.0461125755212282,-0.807784108373397,0.427612941719454,0.999404657273207,-5.50666614412684
"4930455H04Rik",-0.0251258013281479,0.0368478461993798,-0.807674853201566,0.427674566836122,0.999404657273207,-5.50674765862437
"AI597479",-0.0244949775161783,0.0505251459618211,-0.807655711809766,0.42768536406029,0.999404657273207,-5.50676193881321
"Traj38",-0.0210564296511893,0.0344835998771239,-0.80758580687518,0.427724797284541,0.999404657273207,-5.50681408778982
"Brme1",0.0214305026500503,0.0283298394196065,0.807443779288152,0.427804921701572,0.999404657273207,-5.506920027103
"Tgif2lx1",0.0212349764855886,0.0267547314232081,0.807298391745975,0.427886951286622,0.999404657273207,-5.5070284545059
"Olfr323",0.0246752985851474,0.0217586982171491,0.807109959802623,0.427993281635754,0.999404657273207,-5.5071689563638
"Cdk7",-0.0258809538757944,0.0491878943894872,-0.807011202293905,0.4280490161122,0.999404657273207,-5.50724258132989
"Gm21976",0.0227964829645575,0.0345555635107054,0.807002881406073,0.42805371226818,0.999404657273207,-5.50724878427007
"Dnase2a",0.0293467924405816,0.123571616523231,0.806724636579968,0.428210766957248,0.999404657273207,-5.50745617178228
"Gucy1a2",-0.0205950462143426,0.0373783706798486,-0.806708793642895,0.428219710545583,0.999404657273207,-5.50746797816523
"Usp43",-0.0260933890556908,0.0493311565715309,-0.80657471440466,0.428295405039985,0.999404657273207,-5.50756788720859
"Elovl5",-0.0256351778031932,0.0385406239096639,-0.806421064430801,0.42838215841888,0.999404657273207,-5.50768236019314
"Gzmb",-0.0289479422768035,0.0371499719015014,-0.806351406301237,0.42842149217389,0.999404657273207,-5.50773425045367
"Nt5m",0.0231744962420823,0.0316074442800158,0.806280637491447,0.428461455391561,0.999404657273207,-5.50778696377934
"Neurod1",0.0270204428098591,0.0664520060525999,0.806077676793166,0.428576080338499,0.999404657273207,-5.50793811833132
"Uggt1",-0.0379011105086664,0.0985776708093826,-0.806041872314933,0.428596303403212,0.999404657273207,-5.50796477993218
"Wdfy3",-0.0202381314819651,0.0140339829748684,-0.805985983172726,0.428627871860322,0.999404657273207,-5.50800639524038
"Mgat2",0.0224702871504147,0.0306041340165918,0.80592820894452,0.42866050660784,0.999404657273207,-5.50804941134315
"Prr16",-0.025893256038816,0.0474011832526721,-0.805915118723754,0.428667901054215,0.999404657273207,-5.5080591573328
"Cypt4",0.0302178087476328,0.0463933899703797,0.805313451009393,0.429007858518685,0.999404657273207,-5.50850695318533
"Igsf1",0.0322207821542074,0.0671739327335343,0.805154713503753,0.429097577105199,0.999404657273207,-5.5086250424282
"Ankrd27",-0.0267723531384843,0.0423790541874505,-0.805109886588011,0.429122915427671,0.999404657273207,-5.50865838645719
"Cdc42ep3",-0.0279519127244004,0.0395673176896355,-0.805101702730667,0.42912754143651,0.999404657273207,-5.508664473745
"4930402K13Rik",0.0209312667921419,0.0351342278225994,0.804891853550883,0.429246171393911,0.999404657273207,-5.5088205431645
"Sval1",0.0233629131763881,0.019669215342271,0.804648613955379,0.42938370276014,0.999404657273207,-5.5090013979392
"Pfkp",0.0246704469414824,0.0713398130223118,0.804637463793284,0.429390007886435,0.999404657273207,-5.509009687135
"Phf6",-0.0273879868697039,0.0382632834273444,-0.804530106438306,0.429450718613076,0.999404657273207,-5.50908949266275
