"","groupWnt1.OVX.b1","groupWnt1.OVX.b2","groupWnt1.OVX.b3","AveExpr","F","P.Value","adj.P.Val"
"Sytl5",-0.00623516463833639,0.12993247589475,-0.00978217027553737,0.0124039976439671,1.21691164049714,0.335469300118909,0.865926700402726
"Tcp10c",0.0752283981220821,-0.0412259137328829,0.0355045198302227,0.0231272134895074,1.21678293195262,0.33551302592033,0.865926700402726
"Vac14",0.0432733801167954,-0.0248248620121847,0.0445804932515722,0.0118340170370813,1.21657019758931,0.335585310413517,0.865942078510488
"Akap4",0.0171535693275108,-0.151954787796034,-0.028456821429674,0.0201732794168704,1.21623938243434,0.335697749061127,0.865942078510488
"Cdk19",0.0679434242625682,0.07415839476427,0.0643902011664951,0.0459255140363179,1.21590458550457,0.335811580430505,0.865942078510488
"Gm10521",-0.0670561155840863,-0.00314678279822746,0.0267060113975399,0.00977373124767562,1.2157490949308,0.335864460893417,0.865942078510488
"Tspan33",-0.069625136804307,0.0728385022263639,0.0337733295611077,0.0226645676256548,1.21560896400748,0.335912125049191,0.865942078510488
"Ptpn18",0.0291163747778915,0.123053310721204,-0.0139605812999065,0.0139791493004191,1.21545894530598,0.335963160132376,0.865942078510488
"Rab22a",0.0504584457935184,0.109992862990531,0.0468548233197071,0.00762642887268583,1.21544883821028,0.335966598766364,0.865942078510488
"Wdr3",-0.0624266734924683,-0.0189170305964959,-0.0501164073847259,0.0087246088437109,1.21515749177247,0.336065736124364,0.86603276852448
"Mmab",0.0429070121395989,-0.0761098348612607,-0.0267362175923789,0.0112619183917768,1.21474413969882,0.336206440250134,0.866230520142182
"Pgp",-0.101075685461612,-0.287059227478506,-0.0280517235557161,0.0790904137714629,1.21401288470359,0.336455505958996,0.866284821208758
"Olfr1173",0.0438630608376343,0.0548380419299187,-0.0333276043194312,0.0174724284211753,1.21386023200404,0.336507523412485,0.866284821208758
"Filip1l",0.041246797524122,0.00752574464917828,0.0563042826957386,0.0212416931263503,1.2138544811092,0.336509483230648,0.866284821208758
"Sirt5",0.0282380132481124,-0.0602995935393361,0.047521859773594,0.0125921826412514,1.21380913702583,0.336524936220229,0.866284821208758
"Ttn",0.0793416475544354,0.170948270845015,0.044113824560438,0.033141795640028,1.21370784888577,0.336559457236893,0.866284821208758
"Zer1",-0.00683438160077283,0.124346833765501,0.0279403321145376,0.0119470108807196,1.21353124621446,0.336619655640154,0.866284821208758
"Dusp4",-0.039026406323863,-0.130902366740566,0.0227335257717157,0.0163995657271481,1.21324336275106,0.336717809924018,0.866284821208758
"Tph1",-0.0120453008133096,-0.102935912743721,0.00561483535341618,0.00714548641098737,1.21318040986046,0.336739277716948,0.866284821208758
"Plekha8",-0.0518078259989064,0.064923165325225,0.018652818373045,0.00778186070767531,1.21253083095621,0.336960875010655,0.866556239395574
"Shisa9",-0.0543348980327735,0.00655513876591489,0.022700738406016,0.00858204667683945,1.211960669908,0.337155503024318,0.866556239395574
"Galntl5",0.0439485761710857,0.0410879945774618,0.0251266817673042,0.00786920145009203,1.21193639079305,0.337163793411175,0.866556239395574
"Ring1",8.45997143968235e-05,-0.0961741837936659,-0.0463825909228958,0.00910847959494892,1.21166893349366,0.337255133669341,0.866556239395574
"Spn",-0.0741420488037393,0.0490416165052443,0.0555627897315803,0.0204459332502351,1.21155358379426,0.337294534976347,0.866556239395574
"Tubb1",0.0654072751081846,0.0647612454846656,0.035055285880159,0.0263868008963652,1.21110370586903,0.337448250026574,0.866556239395574
"Ipo11",0.050097125531376,-0.0202347338437872,0.0340162374465759,0.0117218164688124,1.21106672155123,0.337460890087675,0.866556239395574
"Dnajc28",-0.0296353328397238,0.0379676968241097,0.0525099543267122,0.0166908298987915,1.21105383278497,0.337465295171347,0.866556239395574
"Atxn1",-0.0842990664300957,0.0961282562871178,0.0278740457176792,0.021319962562307,1.21096257709245,0.337496485954449,0.866556239395574
"Frmd4a",0.0284972211933504,0.00713974238849027,-0.0671278121953579,0.0220625366155711,1.21062794059091,0.337610888509078,0.866556239395574
"Nedd4",0.0508713162923095,-0.0018918311069505,0.0313006535932614,0.00985208598931495,1.21041360603673,0.337684184203744,0.866556239395574
