"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Cyp4x1",0.0162757179784508,0.0110616059696318,0.536416131219861,0.59898755377878,0.955613101418153,-5.95259544591077
"Piwil4",0.0134264477128912,0.00810117381861127,0.536411919430101,0.598990397683876,0.955613101418153,-5.95259768410339
"Snx19",0.0153329239993929,0.00817005079674609,0.536326193025793,0.599048283738871,0.955613101418153,-5.95264323640364
"Grin2b",0.0150228223820213,0.00855182052131156,0.536262144094763,0.599091534069347,0.955613101418153,-5.95267726540317
"Sin3b",-0.0151753701160474,0.0104984970513949,-0.536211149115794,0.599125970564134,0.955613101418153,-5.9527043560791
"Dusp29",-0.0147300858726087,0.0099333592163578,-0.536043285606069,0.599239334367493,0.955613101418153,-5.95279351470104
"Kcnk3",0.0154153963124161,0.0131515879584313,0.535881837305919,0.599348375808158,0.955613101418153,-5.95287924059567
"Arl4c",-0.0165937891224576,0.0217864517767465,-0.535723777969097,0.599455137894574,0.955613101418153,-5.95296314291978
"Tomm20",-0.0147761139523131,0.0323395275465459,-0.535697929933873,0.599472597995842,0.955613101418153,-5.95297686151271
"Klc2",-0.0150569077805777,0.0154560697510301,-0.535653719151332,0.599502462542516,0.955613101418153,-5.95300032447694
"Ccdc182",-0.0173002489462625,0.0165125200215658,-0.535607089678987,0.599533961722687,0.955613101418153,-5.95302506903509
"Brinp1",-0.0146243695075085,0.0121294614533878,-0.535274227555874,0.599758840864006,0.955859035304268,-5.95320164652948
"Ascl2",-0.0180516037764663,0.0114555565799938,-0.534576589499313,0.600230295504468,0.956429823722825,-5.95357138814174
"Marchf2",-0.0179069886468932,0.0326554403750974,-0.534439367413658,0.60032304999082,0.956429823722825,-5.95364405988037
"Gm16223",0.0180848787252525,0.0127309162903235,0.534415305602691,0.60033931516626,0.956429823722825,-5.95365680097415
"Kif19b",-0.0173582746916784,0.0167536108308728,-0.534326284912679,0.600399492797795,0.956429823722825,-5.95370393397448
"Olfr596",-0.0239741561751975,0.0206368467238986,-0.534100223000088,0.600552323172475,0.956500389933501,-5.95382359098474
"Sncaip",0.0121554079546424,0.00669170579476949,0.534051810720722,0.600585055058673,0.956500389933501,-5.95384920978398
"Hic1",0.0168398181583225,0.0109812353415296,0.533686207653822,0.600832270404009,0.956615107198843,-5.954042607279
"Pecr",0.0173781795888501,0.0210782571342308,0.533671447110824,0.600842252320617,0.956615107198843,-5.9540504126626
"Cd2bp2",-0.0219860404365588,0.0158503616447412,-0.53363188381953,0.600869007667505,0.956615107198843,-5.9540713327277
"Smarcal1",-0.0231999819657307,0.0232094736076222,-0.533128256067283,0.601209645980605,0.956953301182819,-5.95433750771067
"Fut11",-0.0156095702822586,0.0105430282556224,-0.533095451334491,0.60123183740449,0.956953301182819,-5.95435483711315
"Ankrd6",-0.0179400348882982,0.0135161312019748,-0.5330044033255,0.601293430790474,0.956953301182819,-5.95440292867929
"Nsun2",-0.0255944026500907,0.0240205168855097,-0.532756568856235,0.601461104998343,0.95698360878381,-5.95453379476753
"Ctf2",0.0177437838312847,0.0211585215685579,0.532656115571164,0.601529073978116,0.95698360878381,-5.95458682124301
"Them6",0.0204873737641948,0.0203680330966201,0.532338551546222,0.601743969990873,0.95698360878381,-5.95475439101152
"Elovl4",0.0205148686581184,0.0110032137306031,0.532253163270168,0.601801758823788,0.95698360878381,-5.95479943161766
"Elob",0.0147437320884993,0.0106676906564515,0.531827771941395,0.602089694786104,0.95698360878381,-5.95502371326846
"Zdhhc14",0.0146720691480852,0.00760844852675774,0.531811129888811,0.602100960726699,0.95698360878381,-5.95503248404578
"Snapc4",0.0202467695140951,0.0214779848880388,0.531725265812442,0.602159088598624,0.95698360878381,-5.955077732355
"Clps",0.0171976910322143,0.0104383008445185,0.531686558634026,0.602185293314017,0.95698360878381,-5.95509812780706
"Maneal",-0.0113108547711089,0.00434821495212373,-0.531435259011767,0.602355436558272,0.95698360878381,-5.95523050692593
"Ftcd",-0.0189265247597336,0.0161193501187052,-0.531338768260872,0.60242077224379,0.95698360878381,-5.95528132010573
"Riok1",-0.0254800944137409,0.0262284946699916,-0.531280152603521,0.602460463704718,0.95698360878381,-5.95531218346744
"Ssh3",-0.0133373177986089,0.0103616831439929,-0.531028315490779,0.602631009318038,0.95698360878381,-5.95544474789499
"Allc",-0.0158782341550598,0.0118621713629839,-0.531016990093425,0.602638679504937,0.95698360878381,-5.95545070804239
"Clec4f",-0.0158851642291893,0.0173203291538009,-0.530954367959881,0.602681091554248,0.95698360878381,-5.9554836615967
"Tenm1",0.0154298759678392,0.0189073160013516,0.530808540422373,0.602779861774659,0.95698360878381,-5.95556038569025
"Six4",0.0144736041468943,0.0122968985699328,0.530431626229899,0.603035185899446,0.95698360878381,-5.95575859705488
"Rcvrn",0.0166591137532574,0.0102928822330206,0.530356427938177,0.60308613208807,0.95698360878381,-5.95579812603791
"Gm5901",-0.0130582332511561,0.012125142665448,-0.530317561058491,0.603112464892391,0.95698360878381,-5.95581855481274
"Cited4",0.0157105754514424,0.0119004332592032,0.530306863087508,0.60311971300295,0.95698360878381,-5.95582417750736
"H2-Q6",-0.0165208875471004,0.0237345264538666,-0.530280501679669,0.603137573619559,0.95698360878381,-5.955838032205
"Ccndbp1",0.022088096282689,0.0254512533142124,0.530255206113827,0.603154712342384,0.95698360878381,-5.95585132610656
"Dapk2",-0.0176250512522459,0.0174460928665193,-0.530136747407613,0.603234975883757,0.95698360878381,-5.95591357308721
"Mup18",-0.0278148276663997,0.0399177399559523,-0.530116763560526,0.603248516769276,0.95698360878381,-5.95592407275935
"Olfr1157",-0.0126585169949335,0.0112747757195835,-0.530053598395426,0.60329131793471,0.95698360878381,-5.95595725773019
"Pramel33",0.0115405185488612,0.0108017428776396,0.530043127714981,0.603298413086833,0.95698360878381,-5.95596275832467
"Carm1",0.0243661225723919,0.0206969693002981,0.529847012808932,0.603431312243822,0.95698360878381,-5.95606576461063
"Tlcd2",0.0161634926778916,0.0131264902731482,0.529834912415442,0.603439512664333,0.95698360878381,-5.95607211894929
"Slc5a4a",0.0158044600281747,0.0086973472852892,0.529814424036217,0.603453397736703,0.95698360878381,-5.95608287779283
"Edn2",0.0153730102341065,0.0125416380490319,0.529796756274659,0.603465371389349,0.95698360878381,-5.95609215515349
"Irf2bpl",0.0268106191131305,0.0374960631816338,0.529398991442154,0.603734972318749,0.95698360878381,-5.95630094294657
"Eef2kmt",0.0195854579436267,0.0199554420298125,0.529137751258004,0.603912070486208,0.95698360878381,-5.95643798634032
"Xrcc1",0.029013880722692,0.0272862506985065,0.529111164343429,0.603930095539299,0.95698360878381,-5.95645192985285
"9630041A04Rik",0.0176344462354106,0.0132947491320551,0.529059739687541,0.603964960514671,0.95698360878381,-5.95647889760672
"Cnih2",-0.0240381288930879,0.0155038750808964,-0.528721747875594,0.60419413741438,0.95698360878381,-5.95665608198545
"Met",0.0168684339755976,0.0143249228301544,0.528706017081338,0.604204804793059,0.95698360878381,-5.95666432583101
"Psg23",-0.0179836307933643,0.0179143389094448,-0.528357781832315,0.604440974070976,0.95698360878381,-5.95684676066291
"Tmem230",0.0119541235656112,0.00547209677047622,0.528325428109508,0.604462918309927,0.95698360878381,-5.95686370437207
