"","groupWnt1.OVX.b1","groupWnt1.OVX.b2","groupWnt1.OVX.b3","groupWnt1.OVX.b4","AveExpr","F","P.Value","adj.P.Val"
"Ntsr1",-0.0255206646260509,-0.00401984794406582,-0.0232424318416645,-0.0143555472507751,0.0251014525351082,0.0867804620019417,0.985667622462539,0.999333663217976
"Cxadr",0.0244012521276811,-0.0513025300883245,-0.0213788060034354,0.00784887887683569,0.0422067322651125,0.0866588168778096,0.985705124471519,0.999333663217976
"Kdm5a",-0.0325328130855118,0.0185426573316198,0.012632178769658,-0.039316189814483,0.0435565977390544,0.0863875411226094,0.985788604675524,0.999333663217976
"Gm973",-0.0101831924060316,0.00297548493557769,-0.00741266746241715,0.0240703531243667,0.0264139430258282,0.0863407598717808,0.985802979598247,0.999333663217976
"Unk",-0.00191283707497398,-0.00608905458235375,-0.0622168488483304,-0.037194981700759,0.0815240206376201,0.0863380942102976,0.985803798514009,0.999333663217976
"Tspan9",0.00930425749774297,0.0331586371392499,0.0178710409732682,0.0276122132152328,0.0540851032159625,0.0863197773600627,0.985809425072169,0.999333663217976
"Olfr168",-0.0379588816274801,0.0284929506509263,-0.00951442521075923,-0.0250825859241032,0.0323832450738947,0.0862977941600783,0.985816176596396,0.999333663217976
"Adap2",-0.0381692799593789,0.026307734906996,0.0144626431531324,-0.0215164684047722,0.0261807548013555,0.0861397355891542,0.98586467934522,0.999333663217976
"Prrxl1",0.0243533564505516,0.0180486209288682,-0.00800462137278724,-0.00783036360515522,0.0268470348733282,0.0861285974455829,0.985868094575159,0.999333663217976
"Gpr176",0.0306897107132295,-0.0228381639826188,-0.0116316853875422,-0.0134686793734661,0.0350284722027409,0.0860984619946567,0.985877333076776,0.999333663217976
"Apba3",-0.0137234514677544,-0.000808694982288849,0.000333237878770485,-0.022564816735521,0.00680433156814665,0.0857946253033284,0.985970334393867,0.999333663217976
"Nsun4",-0.0167274978538721,-0.0245890851286458,-0.00652633567518518,0.0039552801774167,0.0137825515451686,0.0856822982072778,0.986004649884938,0.999333663217976
"Frem3",-0.00459394091479928,-0.0299549745668881,0.0256779660753321,0.00937707686091527,0.0437038042992521,0.0851885315342309,0.986155066072803,0.999333663217976
"Etfdh",0.00702855007848537,-0.0317989492213174,-0.0498805849403012,-0.00750186048188203,0.0317040928062918,0.085028315222913,0.986203722871802,0.999333663217976
"Fam163a",-0.0182604846005129,-0.0258339335557207,0.00902960347767648,0.0109459352512905,0.0267706101968936,0.0846163110598778,0.986328508308993,0.999333663217976
"Fam133b",0.00252687938381998,0.0253674419885304,0.0201465765438632,0.014394297851024,0.0348238770679485,0.0845643455314666,0.986344212731395,0.999333663217976
"Arhgap15",-0.0290473368718645,0.00262762610376062,-0.0100930726500594,-0.0268817876077408,0.0308120284590284,0.0845200927922306,0.986357580168587,0.999333663217976
"Vmn2r59",-0.00388608928982586,0.0297467682390041,0.0122144339963186,-0.0267079641862234,0.0171575498917691,0.0843828694560142,0.98639899548104,0.999333663217976
"Olfr844",-0.0217203543345581,-0.0134817323660835,-0.0129090656045837,-0.00181494736172105,0.0140253385490562,0.0843251543904248,0.986416398267425,0.999333663217976
"Slc35a2",-0.0120487717345895,0.0152329139945272,-0.0210809233505001,-0.0439373040558353,0.0413826000939574,0.0841018927359588,0.986483627979284,0.999333663217976
"Kcnab2",0.00320363105243143,0.00252275220275222,-0.0212839229031506,0.0286807823396585,0.0495549686817987,0.0839410543865982,0.986531971533822,0.999333663217976
"Rxfp2",0.00244647035600996,-0.0173489615766217,-0.035637904507738,0.0213353363319098,0.0295540457335088,0.0839368120433583,0.986533245655973,0.999333663217976
"B3gnt2",-0.0200201434294636,0.0283101843126776,-0.0065095333945262,-0.0313327991270025,0.0258712411002227,0.0839186711794047,0.986538693398706,0.999333663217976
"Themis3",0.0109344034816198,0.0174302209394144,0.0333795516281783,0.0252966269629422,0.0181338507437755,0.08374758024179,0.986590025731772,0.999333663217976
"Ccdc85b",-0.0647999801055737,0.0143621770353684,0.0126160336508431,-0.00431375991570429,0.123207027831836,0.0836274655677698,0.986626013238189,0.999333663217976
"Chaf1b",-0.0223903848705477,0.033799098948436,0.0591028061209001,-0.0024928020595553,0.0565553237491249,0.0835791879260102,0.986640465951275,0.999333663217976
